P1,P2,P3
solar energy comes from the sun,solar energy is a kind of energy,solar energy is a kind of energy that comes from the sun
rainwater falls from clouds,rainwater is a kind of water,rainwater is a kind of water that falls from clouds
table salt contains sodium chloride,table salt is a kind of compound,table salt is a kind of compound that contains sodium chloride
espresso contains high caffeine,espresso is a kind of coffee,espresso is a kind of coffee that contains high caffeine
lava emerges from volcanoes,lava is a kind of molten rock,lava is a kind of molten rock that emerges from volcanoes
fog forms near cool ground,fog is a kind of condensation,fog is a kind of condensation that forms near cool ground
honey is produced by bees,honey is a kind of sweetener,honey is a kind of sweetener that is produced by bees
amber forms from tree resin,amber is a kind of fossil,amber is a kind of fossil that forms from tree resin
stainless steel contains chromium,stainless steel is a kind of alloy,stainless steel is a kind of alloy that contains chromium
yogurt results from milk fermentation,yogurt is a kind of dairy product,yogurt is a kind of dairy product that results from milk fermentation
dew collects on surfaces overnight,dew is a kind of moisture,dew is a kind of moisture that collects on surfaces overnight
lightning is caused by electric discharge,lightning is a kind of electrical phenomenon,lightning is a kind of electrical phenomenon that is caused by electric discharge
pollen is carried by wind,pollen is a kind of plant powder,pollen is a kind of plant powder that is carried by wind
iceberg breaks off glaciers,iceberg is a kind of floating ice,iceberg is a kind of floating ice that breaks off glaciers
sea breeze blows from ocean to land,sea breeze is a kind of wind,sea breeze is a kind of wind that blows from ocean to land
peat accumulates in bogs,peat is a kind of organic material,peat is a kind of organic material that accumulates in bogs
silt is deposited by rivers,silt is a kind of sediment,silt is a kind of sediment that is deposited by rivers
glacier meltwater flows from melting ice,glacier meltwater is a kind of freshwater,glacier meltwater is a kind of freshwater that flows from melting ice
quartz sand is composed of silica,quartz sand is a kind of sediment,quartz sand is a kind of sediment that is composed of silica
propolis is collected by bees,propolis is a kind of bee product,propolis is a kind of bee product that is collected by bees
hematite contains iron oxide,hematite is a kind of mineral,hematite is a kind of mineral that contains iron oxide
soy milk is made from soybeans,soy milk is a kind of plant‑based milk,soy milk is a kind of plant‑based milk that is made from soybeans
