Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,If_Clause,If_Subject,Then_Clause,Conclusion_Object
microscope,requires,lens,lens,is made from,glass,if there is,glass,then there can be,microscope
compass,needs,magnet,magnet,requires,iron,if there is,iron,then there can be,compass
smartphone,requires,battery,battery,requires,electrolyte,if there is,electrolyte,then there can be,smartphone
bicycle,uses,chain,chain,requires,sprocket,if there is,sprocket,then there can be,bicycle
airplane,requires,wing,wing,requires,airfoil,if there is,airfoil,then there can be,airplane
refrigerator,requires,compressor,compressor,requires,piston,if there is,piston,then there can be,refrigerator
computer,runs on,processor,processor,is made from,silicon,if there is,silicon,then there can be,computer
router,requires,firmware,firmware,is written in,code,if there is,code,then there can be,router
camera,needs,sensor,sensor,contains,photodiode,if there is,photodiode,then there can be,camera
guitar,requires,strings,strings,are made from,nylon,if there is,nylon,then there can be,guitar
piano,uses,hammers,hammers,are made from,felt,if there is,felt,then there can be,piano
violin,needs,bow,bow,uses,rosin,if there is,rosin,then there can be,violin
book,requires,ink,ink,contains,pigment,if there is,pigment,then there can be,book
radio,uses,antenna,antenna,is made from,copper,if there is,copper,then there can be,radio
television,requires,display,display,contains,pixel,if there is,pixel,then there can be,television
satellite,needs,transponder,transponder,uses,oscillator,if there is,oscillator,then there can be,satellite
submarine,requires,ballast,ballast,contains,water,if there is,water,then there can be,submarine
drone,uses,propeller,propeller,requires,blade,if there is,blade,then there can be,drone
rocket,requires,fuel,fuel,requires,oxidizer,if there is,oxidizer,then there can be,rocket
lighthouse,needs,lamp,lamp,requires,bulb,if there is,bulb,then there can be,lighthouse
windmill,requires,rotor,rotor,has,shaft,if there is,shaft,then there can be,windmill
photocell,requires,junction,junction,is made from,semiconductor,if there is,semiconductor,then there can be,photocell
calculator,uses,computer,computer,requires,hardware,if there is,hardware,then there can be,calculator
smartwatch,requires,wristband,wristband,requires,buckle,if there is,buckle,then there can be,smartwatch
pacemaker,needs,electrode,electrode,is made from,platinum,if there is,platinum,then there can be,pacemaker
ventilator,requires,airflow,airflow,is driven by,fan,if there is,fan,then there can be,ventilator
elevator,needs,counterweight,counterweight,is made from,steel,if there is,steel,then there can be,elevator
escalator,uses,steps,steps,require,tread,if there is,tread,then there can be,escalator
thermostat,requires,thermistor,thermistor,uses,oxide,if there is,oxide,then there can be,thermostat
sprinkler,uses,nozzle,nozzle,requires,orifice,if there is,orifice,then there can be,sprinkler
washer,needs,drum,drum,is driven by,belt,if there is,belt,then there can be,washer
dryer,requires,heater,heater,uses,resistor,if there is,resistor,then there can be,dryer
blender,uses,blades,blades,require,alloy,if there is,alloy,then there can be,blender
microwave,needs,heat,heat,uses,electricity,if there is,electricity,then there can be,microwave
oven,requires,heating,heating,requires,element,if there is,element,then there can be,oven
kettle,needs,spout,spout,requires,lip,if there is,lip,then there can be,kettle
toaster,uses,nichrome,nichrome,contains,chromium,if there is,chromium,then there can be,toaster
flashlight,requires,reflector,reflector,needs,mirror,if there is,mirror,then there can be,flashlight
lantern,needs,mantle,mantle,requires,cerium,if there is,cerium,then there can be,lantern
generator,requires,armature,armature,requires,commutator,if there is,commutator,then there can be,generator
powerplant,uses,turbine,turbine,requires,generator,if there is,generator,then there can be,powerplant
engine,requires,ignition,ignition,uses,sparkplug,if there is,sparkplug,then there can be,engine
motor,needs,winding,winding,requires,insulation,if there is,insulation,then there can be,motor
pump,requires,impeller,impeller,requires,shroud,if there is,shroud,then there can be,pump
train,needs,engine,engine,uses,steam,if there is,steam,then there can be,train
furnace,requires,burner,burner,requires,igniter,if there is,igniter,then there can be,furnace
boiler,requires,steamdrum,steamdrum,requires,feedwater,if there is,feedwater,then there can be,boiler
seismometer,uses,pendulum,pendulum,requires,pivot,if there is,pivot,then there can be,seismometer
barometer,requires,mercury,mercury,occurs in,cinnabar,if there is,cinnabar,then there can be,barometer
thermometer,needs,thermocouple,thermocouple,uses,wire,if there is,wire,then there can be,thermometer
hygrometer,requires,hair,hair,contains,keratin,if there is,keratin,then there can be,hygrometer
altimeter,uses,pressure,pressure,is measured in,pascal,if there is,pascal,then there can be,altimeter
chronometer,needs,escapement,escapement,uses,pallet,if there is,pallet,then there can be,chronometer
nutrient,requires,food,food,requires,meal,if there is,meal,then there can be,nutrient
accelerometer,needs,proofmass,proofmass,requires,spring,if there is,spring,then there can be,accelerometer
spectrometer,requires,grating,grating,has,groove,if there is,groove,then there can be,spectrometer
centrifuge,needs,bucket,bucket,requires,latch,if there is,latch,then there can be,centrifuge
incubator,requires,shelf,shelf,is made from,aluminum,if there is,aluminum,then there can be,incubator
defibrillator,needs,capacitor,capacitor,uses,dielectric,if there is,dielectric,then there can be,defibrillator
salad,requires,leaf,leaf,is made from,plant,if there is,plant,then there can be,salad
syringe,needs,plunger,plunger,is made from,rubber,if there is,rubber,then there can be,syringe
scalpel,requires,edge,edge,is made from,ceramic,if there is,ceramic,then there can be,scalpel
rope,requires,fiber,fiber,is made from,silica,if there is,silica,then there can be,rope
