P1,P2,C
solar panels requires sunlight to generate electricity,heavy cloud cover blocks sunlight,"if there is heavy cloud cover, then the solar panels cannot generate electricity"
car engines requires fuel to run,an empty gas tank blocks fuel,"if there is an empty gas tank, then the car engines cannot run"
campfires requires dry wood to burn,recent rain blocks dry wood,"if there is recent rain, then the campfires cannot burn"
wind turbines requires wind to produce power,a calm day blocks wind,"if there is a calm day, then the wind turbines cannot produce power"
humans requires oxygen to breathe properly,thin atmospheric air blocks oxygen,"if there is thin atmospheric air, then the humans cannot breathe properly"
submarines requires compressed air to surface safely,air‑system failure blocks compressed air,"if there is air‑system failure, then the submarines cannot surface safely"
plants requires water to grow,severe drought blocks water,"if there is severe drought, then the plants cannot grow"
smartphones requires battery charge to operate,a dead battery blocks battery charge,"if there is a dead battery, then the smartphones cannot operate"
aquariums requires filtered water to support fish,a clogged filter blocks filtered water,"if there is a clogged filter, then the aquariums cannot support fish"
photographs requires light to form images,total darkness blocks light,"if there is total darkness, then the photographs cannot form images"
ice skaters requires ice to glide,melted ice blocks ice,"if there is melted ice, then the ice skaters cannot glide"
farm crops requires fertile soil to produce yield,soil erosion blocks fertile soil,"if there is soil erosion, then the farm crops cannot produce yield"
microphones requires electrical power to amplify sound,a power cut blocks electrical power,"if there is a power cut, then the microphones cannot amplify sound"
airplanes requires lift to stay airborne,a stalled wing blocks lift,"if there is a stalled wing, then the airplanes cannot stay airborne"
fire extinguishers requires pressurized agent to function,loss of pressure blocks pressurized agent,"if there is loss of pressure, then the fire extinguishers cannot function"
laptops requires operating system to boot,corrupt system files blocks operating system,"if there is corrupt system files, then the laptops cannot boot"
radio telescopes requires radio waves to collect data,strong interference blocks radio waves,"if there is strong interference, then the radio telescopes cannot collect data"
divers requires breathing gas to dive safely,empty scuba tank blocks breathing gas,"if there is empty scuba tank, then the divers cannot dive safely"
electric cars requires charged batteries to drive,depleted batteries blocks charged batteries,"if there is depleted batteries, then the electric cars cannot drive"
bacteria requires nutrients to reproduce,nutrient deprivation blocks nutrients,"if there is nutrient deprivation, then the bacteria cannot reproduce"
rocket launches requires clear weather to proceed,high winds blocks clear weather,"if there is high winds, then the rocket launches cannot proceed"
photosynthesis requires CO₂ to produce glucose,CO₂ scrubbing blocks CO₂,"if there is CO₂ scrubbing, then the photosynthesis cannot produce glucose"
MRI scanners requires magnetic fields to image tissues,magnet quench blocks magnetic fields,"if there is magnet quench, then the MRI scanners cannot image tissues"
solar cookers requires direct sunlight to heat food,thick clouds blocks direct sunlight,"if there is thick clouds, then the solar cookers cannot heat food"
sailboats requires wind to navigate,dead calm blocks wind,"if there is dead calm, then the sailboats cannot navigate"
hydroelectric dams requires water flow to generate power,prolonged drought blocks water flow,"if there is prolonged drought, then the hydroelectric dams cannot generate power"
internal combustion engines requires spark to ignite fuel,faulty spark plug blocks spark,"if there is faulty spark plug, then the internal combustion engines cannot ignite fuel"
television sets requires signal reception to display programs,signal outage blocks signal reception,"if there is signal outage, then the television sets cannot display programs"
photos requires camera sensors to capture light,lens cap on blocks camera sensors,"if there is lens cap on, then the photos cannot capture light"
flashlights requires batteries to produce light,battery depletion blocks batteries,"if there is battery depletion, then the flashlights cannot produce light"
pipelines requires pressure to transport fluids,pressure loss blocks pressure,"if there is pressure loss, then the pipelines cannot transport fluids"
seed germination requires appropriate temperature to occur,frost blocks appropriate temperature,"if there is frost, then the seed germination cannot occur"
bread dough requires yeast activity to rise,excessive salt blocks yeast activity,"if there is excessive salt, then the bread dough cannot rise"
combustion requires oxygen to take place,vacuum blocks oxygen,"if there is vacuum, then the combustion cannot take place"
CD players requires disc rotation to read data,motor failure blocks disc rotation,"if there is motor failure, then the CD players cannot read data"
safety parachutes requires air resistance to slow descent,tangled lines blocks air resistance,"if there is tangled lines, then the safety parachutes cannot slow descent"
electric grills requires power supply to heat,tripped breaker blocks power supply,"if there is tripped breaker, then the electric grills cannot heat"
photocopiers requires toner to print,empty toner cartridge blocks toner,"if there is empty toner cartridge, then the photocopiers cannot print"
welding arcs requires shielding gas to prevent oxidation,gas outage blocks shielding gas,"if there is gas outage, then the welding arcs cannot prevent oxidation"
fish requires dissolved oxygen to survive,water stagnation blocks dissolved oxygen,"if there is water stagnation, then the fish cannot survive"
laser cutters requires focused beam to cut material,dirty optics blocks focused beam,"if there is dirty optics, then the laser cutters cannot cut material"
air conditioners requires refrigerant to cool air,refrigerant leak blocks refrigerant,"if there is refrigerant leak, then the air conditioners cannot cool air"
wind chimes requires breeze to make sound,still air blocks breeze,"if there is still air, then the wind chimes cannot make sound"
traffic lights requires electricity to operate,power outage blocks electricity,"if there is power outage, then the traffic lights cannot operate"
bees requires flower nectar to make honey,flower shortage blocks flower nectar,"if there is flower shortage, then the bees cannot make honey"
satellite dishes requires line of sight to receive signals,obstructing trees blocks line of sight,"if there is obstructing trees, then the satellite dishes cannot receive signals"
projectors requires bulb light to display images,burned‑out bulb blocks bulb light,"if there is burned‑out bulb, then the projectors cannot display images"
steam engines requires boiling water to produce steam,dry boiler blocks boiling water,"if there is dry boiler, then the steam engines cannot produce steam"
crop irrigation systems requires water supply to function,pump failure blocks water supply,"if there is pump failure, then the crop irrigation systems cannot function"
