Premise1_Subject,Premise1_Verb,Premise1_Object,Premise2_Subject,Premise2_Verb,Premise2_Object,Conclusion_Subject,Conclusion_Verb,Conclusion_Object
milk, contains, calcium, contains, means, holds, milk, holds, calcium
Earth, orbits, the sun, orbits, means, revolves around, Earth, revolves around, the sun
sugar, dissolves in, water, dissolves in, means, mixes into, sugar, mixes into, water
skin, absorbs, sunlight, absorbs, means, takes in, skin, takes in, sunlight
stars, emit, light, emit, means, give off, stars, give off, light
engines, consume, fuel, consume, means, use up, engines, use up, fuel
plants, produce, oxygen, produce, means, generate, plants, generate, oxygen
batteries, store, energy, store, means, keep, batteries, keep, energy
blood, transports, oxygen, transports, means, carries, blood, carries, oxygen
magnets, repel, like poles, repel, means, push away, magnets, push away, like poles
magnets, attract, opposite poles, attract, means, pull toward, magnets, pull toward, opposite poles
helmets, resist, impacts, resist, means, withstand, helmets, withstand, impacts
metals, conduct, electricity, conduct, means, allow the flow of, metals, allow the flow of, electricity
thermos, insulates, heat, insulates, means, blocks the passage of, thermos, blocks the passage of, heat
compost, fertilizes, soil, fertilizes, means, enriches, compost, enriches, soil
bees, pollinate, flowers, pollinate, means, transfer pollen to, bees, transfer pollen to, flowers
wolves, prey on, deer, prey on, means, hunt, wolves, hunt, deer
swallows, migrate to, warmer regions, migrate to, means, move seasonally to, swallows, move seasonally to, warmer regions
bears, hibernate in, winter, hibernate in, means, sleep through, bears, sleep through, winter
rivers, erode, banks, erode, means, wear away, rivers, wear away, banks
iron, oxidizes with, oxygen, oxidizes with, means, reacts with oxygen to form oxide, iron, reacts with oxygen to form oxide, oxygen
saltwater, corrodes, steel, corrodes, means, eats away at, saltwater, eats away at, steel
water, freezes into, ice, freezes into, means, turns into solid, water, turns into solid, ice
water, boils into, vapor, boils into, means, turns into vapor, water, turns into vapor, vapor
steam, condenses into, liquid, condenses into, means, turns into liquid, steam, turns into liquid, liquid
water, evaporates into, vapor, evaporates into, means, changes into gas, water, changes into gas, vapor
