id,premise1,premise2,conclusion,type,new_type,type_amr_op,"Remarks (Ian)  "
0,climate means the average temperature / weather in an area,winter has cold temperatures / weather,winter can cause the climate in an area to become cold,init,substitution,arg_substitution: (temperature/weather -> climate),"invalid, but by equalizing similar notions, yes substitution: temperature -> climate "
1,drier means lower in amount of water / wetness / moisture,the moon has less water / air than the earth,the moon is drier than the earth,substitution,,frame_substitution: (has less water than -> is drier than),"yes, substitution, but also a Boolean (less water and less air -> less water) "
2,white fur is a kind of protection against predators in the snow,snowy environments have a large amount of snow,white fur is a kind of protection against predators in a snowy environment,further_specification_or_conjunction,further_specification,arg_specification: (in the snow -> in a snowy environment),"OK. But cf students read books -/-> students read algebra books"
3,a scar on the knee is a kind of scar,a scar is an acquired characteristic,a scar on the knee is an acquired characteristic,substitution,arg_substitution,arg_substitution: (scar -> an acquired characteristic),"Yes. I would call it ""substitution in the predicate""."
4,inventing paper allows paper to be used,if something is allowed to be used then the use of that something might increase,inventing paper might increase the use of paper,inference_from_rule,,conditional_frame_insertion,"Isn't the conclusion part of the background knowledge that should be in the language model?"
5,shaking is a kind of moving,shivering is a kind of shaking,shivering is a kind of moving,substitution,arg_substitution,arg_substitution: (shaking -> moving),"Yes. This is of course All A are B/all B are C//All A are C"
6,special tissues in plants transport materials throughout the plant,xylem is a kind of special tissue in vascular plants,xylem transports materials through the plant,substitution,arg_substitution,arg_substitution: (special tissues in plants -> xylem),"Well. But cf Metals are used in the manufacture of cutlery/Molybdenum is a kind of metal//Molybdenum used in the manufacture of cutlery"
7,the nervous system contains nerve cells,nerve cells conduct messages in the body,the nervous system conducts messages in the body,substitution,arg_substitution,frame_substitution: (contains nerve cells -> conduct messages in the body),"Yes. But cf The university library contain books on astrology/Books on astrology mislead people//The university library misleads people"
8,the formation of diamonds requires intense pressure,the pressure is intense deep below earth 's crust,the formation of diamonds occurs deep below the crust of the earth,init,substitution,frame_substitution: (requires -> form;  intense pressure -> deep below earth 's crust),"Not sure why this isn't arg_substitution. But it's similarly dodgy."
9,photosynthesis stores energy,respiration releases energy,photosynthesis stores energy and respiration releases energy,further_specification_or_conjunction,conjunction,frame_conjunction: (and),"Yes. I agree."
10,condensing means a substance changes from a gas into a liquid by decreasing heat energy,water is a kind of substance,water condensing is when water changing from a gas into a liquid by decreasing heat energy,init,further_specification_or_conjunction,frame_substitution: (means -> condensing; substance -> water),"Why isn't this substitution?"
11,mosquitos eat their food source,mosquitos eat blood of animals,animals are a source of food for mosquitos,init,substitution,frame_substitution: (animals -> food source),"Why isn't this arg_substitution?"
12,muscles require energy to move bones,muscle cells are a part of muscles,muscle cells require energy for muscle movement,substitution,arg_substitution,arg_substitution: (muscles -> muscle cells),"Why isn't this substitution?"
13,hiding can be used for avoiding predators,avoiding predators has a positive impact on an organism 's survival,hiding has a positive impact on an organism's survival,substitution,,arg_substitution: (avoiding predators -> hiding),"Why isn't this arg_substitution?"
14,sunlight is a kind of solar energy,photosynthesis means green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves,photosynthesis means plants convert carbon dioxide and water and sunlight into carbohydrates and food and oxygen,substitution,arg_substitution,arg_substitution: (solar energy -> sunlight),
15,animals sitting on command is an example of animals following order,a dog is a kind of animal,a dog sitting on command is an example of a dog following order,substitution,arg_substitution,arg_substitution: (animals -> dog),
16,a paper clip is a kind of object,a paper clip is often made of magnetic metals / ferromagnetic metals,a paper clip is an object made of magnetic metals,further_specification_or_conjunction,further_specification,arg_insertion: (made of magnetic metals),
17,energy comes from food,healing requires rest / nutrients / energy,energy for healing comes from food,further_specification_or_conjunction,further_specification,arg_insertion: (for healing),
18,pollution has a negative impact on the environment / air quality / water quality / society,runoff from a cropland causes water pollution,runoff from cropland has a negative impact on water quality,init,substitution,arg_substitution: (pollution -> runoff from a cropland),
19,gasoline is a kind of resource,"as the use of a resource decreases , the length of time that resource being available will increases","as the use of gasoline decreases, the length of time that gasoline is available will increase",substitution,arg_substitution,arg_substitution: (resource -> gasoline),
20,a cake is a kind of baked product,baking is when a human makes food by adding heat,a cake is a product made by human adding heat to it,further_specification_or_conjunction,further_specification,arg_insertion: (human makes by adding heat),
21,yard is an imperial unit used for measuring length,meters m are a metric / si unit used for measuring length,yard and meter are both unit used for measuring length,further_specification_or_conjunction,conjunction,frame_conjunction,"I would say further generalization and conjunction"
22,a car fender is sometimes made of metal,metal rusts,a car fender might rust,property_inheritance,,arg_substitution_prop: (metal -> car fender),"Why isn't this substitution?"
23,boiling means matter / a substance changes from a liquid into a gas by increasing heat energy,water is a kind of substance,water boiling is when water changes from a liquid into a gas,further_specification_or_conjunction,further_specification,frame_substitution: (change -> boil; substance -> water),
24,a spoon is a kind of thermal conductor,if a thermal conductor is exposed to a source of heat then that conductor may become hot / warm,"if a spoon is exposed to a source of heat, then the conductor may become hot",substitution,arg_substitution,arg_substitution: (thermal conductor -> spoon),
25,the nucleus of an atom is positve in electric charge,the nucleus is the center of an atom,the positive charge is concentrated in the center of an atom,init,substitution,frame_insertion,
26,cooking food prevents food poisoning,preventing something is a kind of method of protection against that something,cooking food protects against food poisoning,substitution,verb_substitution,pred_substitution,"Yes, this is genuinely different. The thing substituted is a binary, not a unary relation."
27,a submarine is an object that will descend in water to explore the ocean,"as an object descends into water , the pressure on that object will increase","as a submarine descends into water, the water pressure on the submarine will increase",init,if_then,arg_substitution,"Not really. The first premise is not used is it? The conclusion is an instance (further specification of) the second premise."
28,breathing out is when animals expel carbon dioxide from their lungs into the air,"if something is expelled in a process, then that something is a waste product of that process",carbon dioxide is a waste product of the breathing process,inference_from_rule,,conditional_frame_insertion,"Not really. This to me is mode akin to what you call verb_substitution---substitution of a binary relation"
29,two birds are in different taxonomic families,two birds developed in separate environments under similar environmental pressures,two birds from different taxonomic families developed in separate environments under similar environmental pressures,further_specification_or_conjunction,further_specification,frame_conjunction,"There is something missing here. It doesn't make sense."
30,if something releases something else then that something is the source of that something else,the endocrine system is a source of hormones,the endocrine system releases hormones,inference_from_rule,,conditional_frame_insertion,"This is a paradigm case of an invalid inference"
31,the offspring of the red flowered plant and white flowered plant will 100% be heterozygous dominant,red flower is a dominant trait in some plant,the offspring of the red flowered plant and white flowered plant will 100% be red,init,substitution,frame_substitution,
32,oxygen being low in availablilty has a negative impact on fish,danger has a negative impact on a thing,oxygen being low in availablilty is a danger to fish,init,substitution,frame_substitution,
33,a hare is a kind of animal,an animal is a kind of organism,a hare is a kind of organism,substitution,arg_substitution,arg_substitution,
34,classifying is when one sorts something by type,a class of something means a type of something,classifying is when one sorts something by class,substitution,,arg_substitution,
35,an animal requires oxygen for survival / to breathe,if something is required by something else then that something must be provided to that somethign else,oxygen must be provided to animals in order for them to breathe / survive,inference_from_rule,,conditional_frame_insertion,
36,a panel is a kind of object,black objects absorb the most amount of sunlight,a black panel will absorb the most amount of sunlight,substitution,arg_substitution,arg_substitution,
37,the mantle and the crust are different media,waves travel at different speed in different medium,waves will travel at different speed in the mantle and the crust,substitution,,arg_substitution,
38,aluminum cans are recyclable,recyclable means a material can be recycled / reused many times,aluminum cans can be recyled many times,substitution,,arg_insertion,
39,plants are a source of sugar through photosynthesis,plants are a source of oxygen through photosynthesis,plants are a source of oxygen and sugar through photosynthesis,further_specification_or_conjunction,conjunction,frame_conjunction,
40,moving parts of something helps to move that something,a skeletal system is a part of an animal,moving an animal's skeletal system helps to move that animal,substitution,arg_substitution,arg_substitution,
41,a soccer ball is a kind of ball,a ball is a kind of object,a soccer ball is a kind of object,substitution,arg_substitution,arg_substitution,
42,a watch requires electrical energy to operate,if something is required then that something must be provided,a watch must be provided with electrical energy,inference_from_rule,,conditional_frame_insertion,
43,a solar panel uses solar energy to produce electrical energy,solar energy is a renewable / inexhaustible resource,a solar panel uses a renewable resource to produce electrical energy,substitution,arg_substitution,arg_substitution,
44,a magnet attracts magnetic metals / ferromagnetic metals through magnetism,an object is attracted to a magnet,the object is made of a magnetic material,init,,arg_substitution_prop,
45,the muscular system push / pull bones to move the bones,skeletal system is made of bones,the muscular system push / pull parts of the skeletal system to move the skeletal system,init,substitution,arg_substitution_prop,
46,snow falls during the winter in some environments,camouflage is a kind of adaptation for hiding in an environment,camouflage can be a kind of adaptation for hiding in snow in winter environments,further_specification_or_conjunction,,arg_insertion,
47,magnesium is flammable,magnesium is a kind of substance,magnesium is a flammable substance,further_specification_or_conjunction,further_specification,arg_substitution,
48,a human requires energy for growth and repair,food is a source of energy for humans,humans require energy from food for growth and repair,further_specification_or_conjunction,further_specification,arg_insertion,
49,the temperature of 120 c is above 100 c,"water is in the gas state , called water vapor, for temperatures above 100 c",the water will be water vapor when the temperature is 120 c,init,further_inference,unk,
50,cellular repiration produces energy by extracting energy from food,all cells perform cellular respiration,all cells produce energy by extracting energy from food,substitution,,arg_substitution,
51,wings and feathers are used to fly by birds,"if something is used by an organism for a process, then that something has a positive impact on that organism's ability to perform that process",wing and feathers have a positive impact on a bird's ability to fly,inference_from_rule,,conditional_frame_insertion,
52,genes are passed from a mother and a father to offspring through the egg and sperm,genes determine the traits for the living things,traits are passed from a mother and a father to offspring through the egg and sperm,substitution,,arg_insertion,
53,solar energy is a renewable / inexhaustible resource,solar energy is a kind of energy,solar energy is a kind of renewable resource and a kind of energy,further_specification_or_conjunction,conjunction,frame_conjunction,
54,eye color is an inherited characteristic of human,a child is a kind of young human,the eye color of a child is an inheried characteristic,substitution,arg_substitution,arg_substitution,
55,new york state is a state located in the united states of america,"when the season changes , the amount of daylight will change","when the season changes, the amount of daylight in new york state will change",further_specification_or_conjunction,further_specification,arg_insertion,
